Date,Price
2016/01/04,1061.56
2016/01/05,1072.13
2016/01/06,1075.24
2016/01/07,1092.88
2016/01/08,1100.06
2016/01/11,1100.51
2016/01/12,1092.06
2016/01/13,1080.06
2016/01/14,1088.2
2016/01/15,1075.87
2016/01/18,1086.59
2016/01/19,1084.79
2016/01/20,1087.22
2016/01/21,1096.7
2016/01/22,1094.51
2016/01/25,1097.1
2016/01/27,1115.29
2016/01/28,1116.01
2016/01/29,1109.59
2016/02/01,1116.19
2016/02/02,1122.37
2016/02/03,1123.05
2016/02/04,1137.52
2016/02/05,1151.4
2016/02/08,1162.29
2016/02/09,1187.24
2016/02/10,1185.81
2016/02/11,1204.69
2016/02/12,1234.35
2016/02/15,1216.09
2016/02/16,1194.95
2016/02/17,1199.43
2016/02/18,1203.15
2016/02/19,1222.39
2016/02/22,1211.2
2016/02/23,1212.71
2016/02/24,1223.31
2016/02/25,1229.97
2016/02/26,1232.09
2016/02/29,1221.6
2016/03/01,1238.11
2016/03/02,1224.05
2016/03/03,1235.45
2016/03/04,1258.32
2016/03/08,1266.1
2016/03/09,1253.45
2016/03/10,1244.86
2016/03/11,1268.25
2016/03/14,1249.83
2016/03/15,1226.23
2016/03/16,1227.93
2016/03/17,1254.28
2016/03/18,1257.27
2016/03/21,1244.63
2016/03/22,1245.9
2016/03/23,1235.58
2016/03/24,1214.12
2016/03/29,1214.55
2016/03/30,1234.87
2016/03/31,1224.79
2016/04/01,1227.8
2016/04/04,1213.57
2016/04/05,1221.41
2016/04/06,1224.48
2016/04/07,1222.15
2016/04/08,1231.88
2016/04/11,1244.87
2016/04/12,1252.44
2016/04/13,1246.79
2016/04/14,1230.47
2016/04/15,1224.38
2016/04/18,1231.22
2016/04/19,1229.72
2016/04/20,1245.86
2016/04/21,1247.2
2016/04/22,1243.58
2016/04/26,1232.1
2016/04/27,1240.93
2016/04/28,1243.15
2016/04/29,1268.98
2016/05/02,1289.99
2016/05/03,1289.91
2016/05/04,1277.99
2016/05/05,1275.16
2016/05/06,1273.83
2016/05/09,1278.73
2016/05/10,1260.2
2016/05/11,1265.88
2016/05/12,1269.09
2016/05/13,1266.14
2016/05/16,1273.94
2016/05/17,1271.52
2016/05/18,1270.38
2016/05/19,1252.7
2016/05/20,1251.09
2016/05/23,1248.83
2016/05/24,1241.61
2016/05/25,1221.69
2016/05/26,1225.06
2016/05/27,1214.63
2016/05/30,1199.39
2016/05/31,1207.66
2016/06/01,1212.19
2016/06/02,1209.81
2016/06/03,1206.14
2016/06/07,1239.41
2016/06/08,1244.13
2016/06/09,1257.2
2016/06/10,1262.7
2016/06/13,1274.7
2016/06/14,1276.17
2016/06/15,1279.53
2016/06/16,1299.31
2016/06/17,1278.56
2016/06/20,1280.66
2016/06/21,1282
2016/06/22,1263.21
2016/06/23,1261.14
2016/06/24,1301.23
2016/06/27,1323.76
2016/06/28,1313.94
2016/06/29,1315.11
2016/06/30,1311.64
2016/07/01,1325.67
2016/07/04,1343.78
2016/07/05,1340.87
2016/07/06,1363.39
2016/07/07,1363.19
2016/07/08,1353.3
2016/07/11,1360.99
2016/07/12,1351.06
2016/07/13,1333.35
2016/07/14,1332.65
2016/07/15,1327.08
2016/07/18,1324.5
2016/07/19,1325.63
2016/07/20,1325.6
2016/07/21,1312.19
2016/07/22,1324.65
2016/07/25,1313.08
2016/07/26,1314.51
2016/07/27,1314.28
2016/07/28,1335.47
2016/07/29,1332.15
2016/08/01,1344.56
2016/08/02,1348.61
2016/08/03,1359.7
2016/08/04,1349.03
2016/08/05,1358.14
2016/08/08,1330.76
2016/08/09,1329.49
2016/08/10,1346.07
2016/08/11,1339.97
2016/08/12,1334.17
2016/08/15,1335.03
2016/08/16,1341.27
2016/08/17,1340.48
2016/08/18,1348.58
2016/08/19,1343.62
2016/08/22,1330.3
2016/08/23,1334.32
2016/08/24,1333.16
2016/08/25,1321.57
2016/08/26,1319.85
2016/08/29,1313.68
2016/08/30,1318.39
2016/08/31,1309.38
2016/09/01,1305.06
2016/09/02,1308.71
2016/09/05,1320.54
2016/09/06,1322.6
2016/09/07,1346.43
2016/09/08,1342.44
2016/09/09,1333.2
2016/09/12,1324.04
2016/09/13,1325.29
2016/09/14,1315.95
2016/09/15,1318.1
2016/09/16,1310.82
2016/09/19,1310.7
2016/09/20,1311.03
2016/09/21,1312.78
2016/09/22,1329.21
2016/09/23,1331.43
2016/09/27,1331.92
2016/09/28,1320.91
2016/09/29,1319.13
2016/09/30,1319.42
2016/10/03,1311.58
2016/10/04,1306.11
2016/10/05,1267.73
2016/10/06,1261.54
2016/10/07,1250.83
2016/10/10,1257.21
2016/10/11,1254.54
2016/10/12,1251.61
2016/10/13,1254.57
2016/10/14,1252.14
2016/10/17,1249.77
2016/10/18,1254.13
2016/10/19,1258.28
2016/10/20,1266.57
2016/10/21,1259.57
2016/10/24,1260.94
2016/10/25,1261.74
2016/10/26,1270.74
2016/10/27,1262.97
2016/10/28,1265.52
2016/10/31,1272.46
2016/11/01,1273.63
2016/11/02,1287.72
2016/11/03,1296.24
2016/11/04,1295.85
2016/11/07,1286.08
2016/11/08,1279.28
2016/11/09,1303.9
2016/11/10,1279.8
2016/11/11,1254.76
2016/11/14,1215.23
2016/11/15,1221.71
2016/11/16,1224.99
2016/11/17,1222.86
2016/11/18,1206.41
2016/11/21,1209.43
2016/11/22,1215.18
2016/11/23,1210.72
2016/11/24,1182.79
2016/11/25,1178.2
2016/11/28,1190.77
2016/11/29,1189.32
2016/11/30,1187.43
2016/12/01,1168.93
2016/12/02,1171.65
2016/12/05,1173.18
2016/12/06,1169.59
2016/12/07,1166.09
2016/12/08,1173.73
2016/12/09,1165.55
2016/12/12,1153.87
2016/12/13,1159.36
2016/12/14,1157.95
2016/12/15,1138.12
2016/12/16,1127.88
2016/12/19,1136.07
2016/12/20,1134.36
2016/12/21,1132.06
2016/12/22,1128.49
2016/12/23,1127.93
2016/12/28,1139.08
2016/12/29,1144.99
2016/12/30,1157.55
2017/01/03,1151.76
2017/01/04,1157.14
2017/01/05,1170.32
2017/01/06,1175
2017/01/09,1172.23
2017/01/10,1181.61
2017/01/11,1185.46
2017/01/12,1195.07
2017/01/13,1191.44
2017/01/16,1200.36
2017/01/17,1205.35
2017/01/18,1211.06
2017/01/19,1199.32
2017/01/20,1203.53
2017/01/23,1213.21
2017/01/24,1213.33
2017/01/25,1203.72
2017/01/27,1182.53
2017/01/30,1190.43
2017/01/31,1196.24
2017/02/01,1207.12
2017/02/02,1211.26
2017/02/03,1211.06
2017/02/06,1220.55
2017/02/07,1230.09
2017/02/08,1230.88
2017/02/09,1237.86
2017/02/10,1221.84
2017/02/13,1227.53
2017/02/14,1224.78
2017/02/15,1223.54
2017/02/16,1231.52
2017/02/17,1235.19
2017/02/20,1231.94
2017/02/21,1231.7
2017/02/22,1233.29
2017/02/23,1234.18
2017/02/24,1247.63
2017/02/27,1253.77
2017/02/28,1250.26
2017/03/01,1241.94
2017/03/02,1243.59
2017/03/03,1229.54
2017/03/06,1231.23
2017/03/07,1222.84
2017/03/08,1213.64
2017/03/09,1203.64
2017/03/10,1195.68
2017/03/13,1204.4
2017/03/14,1200.3
2017/03/15,1199.34
