DateTime,Open,High,Low,Close,Volume,oi,Symbol
2015-03-30,2053.5,2060.25,2053.5,2056.75,54,181,@ESH16
2015-03-31,2048.75,2048.75,2039.75,2042.0,116,280,@ESH16
2015-04-01,2020.0,2034.0,2018.5,2034.0,4,282,@ESH16
2015-04-02,2040.5,2040.5,2040.5,2040.5,0,282,@ESH16
2015-04-03,2040.5,2040.5,2040.5,2040.5,0,282,@ESH16
2015-04-06,2046.5,2058.75,2046.5,2054.0,22,289,@ESH16
2015-04-07,2057.5,2061.75,2048.5,2048.5,5,290,@ESH16
2015-04-08,2058.0,2058.0,2054.0,2056.75,3,290,@ESH16
2015-04-09,2066.5,2066.5,2066.5,2066.5,0,290,@ESH16
2015-04-10,2073.0,2076.5,2073.0,2076.25,7,290,@ESH16
2015-04-13,2069.75,2069.75,2066.75,2067.25,6,292,@ESH16
2015-04-14,2067.0,2071.5,2067.0,2071.5,1,293,@ESH16
2015-04-15,2086.0,2086.0,2080.5,2080.5,1,293,@ESH16
2015-04-16,2078.0,2084.0,2072.0,2081.5,32,293,@ESH16
2015-04-17,2054.75,2057.0,2046.75,2056.25,4,292,@ESH16
2015-04-20,2074.0,2076.25,2071.5,2071.5,103,393,@ESH16
2015-04-21,2082.5,2084.25,2069.75,2071.5,3,393,@ESH16
2015-04-22,2072.5,2082.5,2072.5,2080.75,2,393,@ESH16
2015-04-23,2085.5,2093.25,2085.5,2087.25,4,394,@ESH16
2015-04-24,2091.25,2092.25,2091.25,2092.0,12,400,@ESH16
2015-04-27,2098.5,2098.5,2084.5,2085.0,3,400,@ESH16
2015-04-28,2082.75,2092.25,2070.5,2092.25,7,406,@ESH16
2015-04-29,2084.25,2084.25,2073.0,2079.25,11,416,@ESH16
2015-04-30,2069.25,2069.25,2052.75,2059.25,2,415,@ESH16
2015-05-01,2063.0,2082.0,2063.0,2082.0,2,416,@ESH16
2015-05-04,2090.75,2090.75,2090.0,2090.0,1,415,@ESH16
2015-05-05,2068.0,2068.0,2064.25,2064.5,1,415,@ESH16
2015-05-06,2052.75,2063.0,2044.0,2054.5,8,415,@ESH16
2015-05-07,2047.0,2064.5,2041.25,2064.5,13,416,@ESH16
2015-05-08,2089.5,2092.0,2088.75,2088.75,6,417,@ESH16
2015-05-11,2089.25,2092.5,2077.75,2077.75,128,523,@ESH16
2015-05-12,2060.0,2079.75,2060.0,2074.75,213,648,@ESH16
2015-05-13,2082.0,2085.25,2073.0,2074.25,11,659,@ESH16
2015-05-14,2074.75,2097.5,2073.75,2097.5,46,661,@ESH16
2015-05-15,2098.75,2098.75,2098.75,2098.75,0,661,@ESH16
2015-05-18,2105.75,2105.75,2105.75,2105.75,0,661,@ESH16
2015-05-19,2104.25,2104.25,2104.25,2104.25,0,661,@ESH16
2015-05-20,2103.5,2106.0,2099.75,2102.25,1,662,@ESH16
2015-05-21,2097.5,2108.75,2095.5,2107.75,1,662,@ESH16
2015-05-22,2104.25,2104.25,2104.25,2104.25,0,662,@ESH16
2015-05-26,2100.0,2102.25,2077.0,2084.5,9,665,@ESH16
2015-05-27,2092.0,2102.75,2092.0,2100.5,4,665,@ESH16
2015-05-28,2091.5,2101.5,2090.75,2101.5,5,666,@ESH16
2015-05-29,2094.25,2094.25,2083.0,2085.75,4,666,@ESH16
2015-06-01,2088.75,2088.75,2088.75,2088.75,0,665,@ESH16
2015-06-02,2074.0,2093.5,2074.0,2086.25,67,723,@ESH16
2015-06-03,2096.0,2099.0,2095.5,2095.5,9,723,@ESH16
2015-06-04,2085.0,2085.0,2070.5,2078.5,11,724,@ESH16
2015-06-05,2078.0,2078.0,2067.75,2071.75,54,725,@ESH16
2015-06-08,2070.0,2070.0,2057.5,2057.5,15,732,@ESH16
2015-06-09,2058.0,2063.25,2046.0,2059.5,8,733,@ESH16
2015-06-10,2060.0,2086.5,2060.0,2086.25,10,732,@ESH16
2015-06-11,2084.0,2093.5,2084.0,2089.0,22,723,@ESH16
2015-06-12,2077.0,2077.75,2070.5,2072.75,9,725,@ESH16
2015-06-15,2061.5,2068.25,2052.0,2063.25,43,757,@ESH16
2015-06-16,2061.0,2076.75,2052.0,2076.75,594,1256,@ESH16
2015-06-17,2079.25,2085.5,2069.25,2076.75,235,1377,@ESH16
2015-06-18,2073.75,2105.25,2070.0,2102.25,79,1429,@ESH16
2015-06-19,2091.25,2092.0,2085.0,2085.0,6,1427,@ESH16
2015-06-22,2092.75,2108.0,2092.75,2100.0,27,1430,@ESH16
2015-06-23,2100.25,2103.75,2099.0,2103.75,2,1431,@ESH16
2015-06-24,2100.75,2102.0,2086.5,2086.5,6,1434,@ESH16
2015-06-25,2086.75,2086.75,2080.5,2081.0,9,1431,@ESH16
2015-06-26,2078.25,2087.25,2075.25,2082.75,12,1432,@ESH16
2015-06-29,2070.0,2070.0,2035.75,2037.25,80,1488,@ESH16
2015-06-30,2038.75,2054.25,2035.5,2041.25,87,1489,@ESH16
2015-07-01,2049.0,2063.25,2048.5,2057.75,53,1442,@ESH16
2015-07-02,2055.75,2063.5,2050.75,2055.75,53,1442,@ESH16
2015-07-06,2029.0,2054.75,2028.5,2051.5,16,1444,@ESH16
2015-07-07,2058.0,2060.5,2023.75,2060.5,13,1445,@ESH16
2015-07-08,2046.25,2046.25,2024.5,2025.75,10,1447,@ESH16
2015-07-09,2048.0,2051.75,2025.0,2027.75,8,1445,@ESH16
2015-07-10,2044.0,2062.0,2044.0,2055.75,15,1443,@ESH16
2015-07-13,2040.75,2081.25,2039.75,2081.25,30,1453,@ESH16
2015-07-14,2078.0,2090.5,2078.0,2089.0,1013,990,@ESH16
2015-07-15,2090.75,2093.75,2083.75,2091.0,20,985,@ESH16
2015-07-16,2094.5,2104.0,2094.5,2104.0,115,1057,@ESH16
2015-07-17,2102.5,2106.25,2102.5,2105.75,5,1057,@ESH16
2015-07-20,2105.0,2110.5,2105.0,2109.0,7,1060,@ESH16
2015-07-21,2110.0,2111.25,2094.25,2101.5,30,1062,@ESH16
2015-07-22,2092.75,2096.5,2091.0,2095.0,7,1063,@ESH16
2015-07-23,2100.0,2100.5,2078.5,2085.5,80,1067,@ESH16
2015-07-24,2086.5,2089.75,2058.0,2064.5,37,1068,@ESH16
2015-07-27,2060.0,2062.0,2044.5,2051.5,114,1171,@ESH16
2015-07-28,2061.0,2075.5,2055.75,2074.25,475,1538,@ESH16
2015-07-29,2075.25,2090.75,2071.75,2088.5,123,1532,@ESH16
2015-07-30,2085.0,2090.5,2076.0,2090.5,770,2141,@ESH16
2015-07-31,2085.0,2095.0,2083.5,2085.25,673,2629,@ESH16
2015-08-03,2080.0,2085.0,2068.5,2077.5,68,2692,@ESH16
2015-08-04,2079.0,2082.0,2068.5,2069.5,257,2733,@ESH16
2015-08-05,2073.25,2092.0,2073.25,2080.75,32,2723,@ESH16
2015-08-06,2078.75,2085.0,2058.0,2066.5,45,2739,@ESH16
2015-08-07,2067.5,2067.5,2050.5,2060.5,82,2762,@ESH16
2015-08-10,2060.0,2086.5,2060.0,2086.5,103,2770,@ESH16
2015-08-11,2085.75,2085.75,2058.0,2066.5,134,2811,@ESH16
2015-08-12,2071.0,2071.0,2035.25,2070.75,1002,3637,@ESH16
2015-08-13,2069.0,2077.75,2059.75,2067.0,105,3635,@ESH16
2015-08-14,2064.5,2076.0,2061.5,2076.0,32,3636,@ESH16
2015-08-17,2079.5,2086.0,2062.0,2086.0,66,3644,@ESH16
2015-08-18,2085.25,2088.75,2077.75,2080.5,66,3652,@ESH16
2015-08-19,2078.75,2078.75,2054.0,2059.25,136,3666,@ESH16
2015-08-20,2059.75,2061.5,2011.75,2011.75,218,3713,@ESH16
2015-08-21,2013.0,2013.5,1955.0,1957.25,583,4011,@ESH16
2015-08-24,1945.75,1947.75,1824.25,1856.5,1585,4390,@ESH16
2015-08-25,1866.0,1933.25,1848.25,1858.0,952,4593,@ESH16
