DateTime,Qd4,Qd3,Qd2,Qd1,Qunch,Qu1,Qu2,Qu3,Qu4
2012-03-15,14.28,14.54,14.8,15.05,15.31,15.57,15.82,16.08,16.34
2012-03-16,14.37,14.63,14.89,15.16,15.42,15.68,15.95,16.21,16.47
2012-03-19,13.51,13.75,13.99,14.23,14.47,14.71,14.95,15.19,15.43
2012-03-20,14.03,14.28,14.54,14.79,15.04,15.29,15.54,15.8,16.05
2012-03-21,14.51,14.77,15.04,15.31,15.58,15.85,16.12,16.39,16.65
2012-03-22,14.13,14.38,14.63,14.88,15.13,15.38,15.63,15.88,16.13
2012-03-23,14.56,14.82,15.07,15.32,15.57,15.82,16.07,16.32,16.58
2012-03-26,13.9,14.13,14.36,14.59,14.82,15.05,15.28,15.51,15.74
2012-03-27,13.4,13.61,13.83,14.04,14.26,14.48,14.69,14.91,15.12
2012-03-28,14.6,14.84,15.09,15.34,15.59,15.84,16.09,16.34,16.58
2012-03-29,14.47,14.72,14.97,15.22,15.47,15.72,15.97,16.22,16.47
2012-03-30,14.49,14.73,14.98,15.23,15.48,15.73,15.98,16.23,16.47
2012-04-02,14.52,14.77,15.01,15.26,15.5,15.74,15.99,16.23,16.48
2012-04-03,14.65,14.9,15.15,15.39,15.64,15.89,16.13,16.38,16.63
2012-04-04,14.69,14.93,15.17,15.42,15.66,15.9,16.15,16.39,16.63
2012-04-05,15.41,15.67,15.92,16.18,16.44,16.7,16.96,17.21,17.47
2012-04-09,15.65,15.92,16.18,16.44,16.7,16.96,17.22,17.48,17.75
2012-04-10,17.57,17.88,18.19,18.5,18.81,19.12,19.43,19.74,20.05
2012-04-11,18.99,19.34,19.69,20.04,20.39,20.74,21.09,21.44,21.79
2012-04-12,18.62,18.97,19.32,19.67,20.02,20.37,20.72,21.07,21.42
2012-04-13,16.07,16.35,16.64,16.92,17.2,17.48,17.76,18.05,18.33
2012-04-16,18.19,18.53,18.87,19.21,19.55,19.89,20.23,20.57,20.91
2012-04-17,18.18,18.53,18.87,19.21,19.55,19.89,20.23,20.57,20.92
2012-04-18,17.22,17.53,17.84,18.15,18.46,18.77,19.08,19.39,19.7
2012-04-19,17.39,17.71,18.02,18.33,18.64,18.95,19.26,19.57,19.89
2012-04-20,17.16,17.46,17.76,18.06,18.36,18.66,18.96,19.26,19.56
2012-04-23,16.33,16.61,16.88,17.16,17.44,17.72,18.0,18.27,18.55
2012-04-24,17.73,18.04,18.35,18.66,18.97,19.28,19.59,19.9,20.21
2012-04-25,16.96,17.25,17.53,17.82,18.1,18.38,18.67,18.95,19.24
2012-04-26,15.83,16.08,16.33,16.57,16.82,17.07,17.31,17.56,17.81
2012-04-27,15.32,15.55,15.78,16.01,16.24,16.47,16.7,16.93,17.16
2012-04-30,15.41,15.64,15.86,16.09,16.32,16.55,16.78,17.0,17.23
2012-05-01,16.19,16.43,16.67,16.91,17.15,17.39,17.63,17.87,18.11
2012-05-02,15.69,15.92,16.14,16.37,16.6,16.83,17.06,17.28,17.51
2012-05-03,15.96,16.19,16.42,16.65,16.88,17.11,17.34,17.57,17.8
2012-05-04,16.58,16.83,17.07,17.32,17.56,17.8,18.05,18.29,18.54
2012-05-07,18.06,18.33,18.61,18.88,19.16,19.44,19.71,19.99,20.26
2012-05-08,17.86,18.13,18.4,18.67,18.94,19.21,19.48,19.75,20.02
2012-05-09,17.95,18.23,18.5,18.78,19.05,19.32,19.6,19.87,20.15
2012-05-10,18.79,19.11,19.43,19.76,20.08,20.4,20.73,21.05,21.37
2012-05-11,17.66,17.95,18.24,18.54,18.83,19.12,19.42,19.71,20.0
2012-05-14,18.64,18.95,19.26,19.58,19.89,20.2,20.52,20.83,21.14
2012-05-15,20.41,20.78,21.14,21.51,21.87,22.23,22.6,22.96,23.33
2012-05-16,20.45,20.83,21.21,21.59,21.97,22.35,22.73,23.11,23.49
2012-05-17,20.74,21.12,21.5,21.89,22.27,22.65,23.04,23.42,23.8
2012-05-18,22.75,23.18,23.62,24.05,24.49,24.93,25.36,25.8,26.23
2012-05-21,23.24,23.71,24.17,24.64,25.1,25.56,26.03,26.49,26.96
2012-05-22,20.51,20.88,21.26,21.63,22.01,22.39,22.76,23.14,23.51
2012-05-23,20.92,21.31,21.7,22.09,22.48,22.87,23.26,23.65,24.04
2012-05-24,20.82,21.2,21.57,21.95,22.33,22.71,23.09,23.46,23.84
2012-05-25,20.12,20.48,20.83,21.19,21.54,21.89,22.25,22.6,22.96
2012-05-29,20.35,20.7,21.05,21.41,21.76,22.11,22.47,22.82,23.17
2012-05-30,19.69,20.03,20.36,20.7,21.03,21.36,21.7,22.03,22.37
2012-05-31,22.47,22.89,23.31,23.72,24.14,24.56,24.97,25.39,25.81
2012-06-01,22.41,22.82,23.24,23.65,24.06,24.47,24.88,25.3,25.71
2012-06-04,24.79,25.26,25.72,26.19,26.66,27.13,27.6,28.06,28.53
2012-06-05,24.36,24.8,25.24,25.68,26.12,26.56,27.0,27.44,27.88
2012-06-06,23.08,23.48,23.88,24.28,24.68,25.08,25.48,25.88,26.28
2012-06-07,20.8,21.14,21.48,21.82,22.16,22.5,22.84,23.18,23.52
2012-06-08,20.37,20.71,21.05,21.38,21.72,22.06,22.39,22.73,23.07
2012-06-11,19.94,20.26,20.58,20.91,21.23,21.55,21.88,22.2,22.52
2012-06-12,21.99,22.39,22.78,23.17,23.56,23.95,24.34,24.73,25.13
2012-06-13,20.65,21.01,21.37,21.73,22.09,22.45,22.81,23.17,23.53
2012-06-14,22.58,23.0,23.42,23.85,24.27,24.69,25.12,25.54,25.96
2012-06-15,20.21,20.58,20.94,21.31,21.68,22.05,22.42,22.78,23.15
2012-06-18,19.67,20.03,20.39,20.75,21.11,21.47,21.83,22.19,22.55
2012-06-19,17.17,17.46,17.75,18.03,18.32,18.61,18.89,19.18,19.47
2012-06-20,17.24,17.53,17.81,18.1,18.38,18.66,18.95,19.23,19.52
2012-06-21,16.19,16.45,16.72,16.98,17.24,17.5,17.76,18.03,18.29
2012-06-22,18.75,19.08,19.41,19.75,20.08,20.41,20.75,21.08,21.41
2012-06-25,16.92,17.22,17.52,17.81,18.11,18.41,18.7,19.0,19.3
2012-06-26,19.04,19.37,19.71,20.04,20.38,20.72,21.05,21.39,21.72
2012-06-27,18.47,18.78,19.09,19.41,19.72,20.03,20.35,20.66,20.97
2012-06-28,18.25,18.55,18.85,19.15,19.45,19.75,20.05,20.35,20.65
2012-06-29,18.5,18.8,19.11,19.41,19.71,20.01,20.31,20.62,20.92
2012-07-02,16.11,16.35,16.59,16.83,17.07,17.31,17.55,17.79,18.03
2012-07-03,15.89,16.12,16.35,16.57,16.8,17.03,17.25,17.48,17.71
2012-07-05,15.77,15.99,16.22,16.44,16.66,16.88,17.1,17.33,17.55
2012-07-06,16.51,16.76,17.01,17.25,17.5,17.75,17.99,18.24,18.49
2012-07-09,16.13,16.37,16.61,16.86,17.1,17.34,17.59,17.83,18.07
2012-07-10,16.93,17.19,17.45,17.72,17.98,18.24,18.51,18.77,19.03
2012-07-11,17.6,17.88,18.16,18.44,18.72,19.0,19.28,19.56,19.84
2012-07-12,16.86,17.13,17.41,17.68,17.95,18.22,18.49,18.77,19.04
2012-07-13,17.22,17.5,17.77,18.05,18.32,18.59,18.87,19.14,19.42
2012-07-16,15.77,16.01,16.25,16.49,16.73,16.97,17.21,17.45,17.69
2012-07-17,16.09,16.35,16.6,16.86,17.11,17.36,17.62,17.87,18.13
2012-07-18,15.51,15.75,15.99,16.24,16.48,16.72,16.97,17.21,17.45
2012-07-19,15.2,15.44,15.68,15.92,16.16,16.4,16.64,16.88,17.12
2012-07-20,14.54,14.77,14.99,15.22,15.45,15.68,15.91,16.13,16.36
2012-07-23,15.24,15.5,15.75,16.01,16.27,16.53,16.79,17.04,17.3
2012-07-24,17.36,17.68,17.99,18.31,18.62,18.93,19.25,19.56,19.88
2012-07-25,19.03,19.39,19.75,20.11,20.47,20.83,21.19,21.55,21.91
2012-07-26,18.04,18.37,18.69,19.02,19.34,19.66,19.99,20.31,20.64
2012-07-27,16.44,16.71,16.99,17.26,17.53,17.8,18.07,18.35,18.62
2012-07-30,15.72,15.97,16.21,16.46,16.7,16.94,17.19,17.43,17.68
2012-07-31,16.95,17.22,17.49,17.76,18.03,18.3,18.57,18.84,19.11
2012-08-01,17.78,18.07,18.36,18.64,18.93,19.22,19.5,19.79,20.08
2012-08-02,17.83,18.12,18.4,18.68,18.96,19.24,19.52,19.8,20.09
2012-08-03,16.58,16.83,17.07,17.32,17.57,17.82,18.07,18.31,18.56
2012-08-06,14.81,15.02,15.22,15.43,15.64,15.85,16.06,16.26,16.47
2012-08-07,15.1,15.31,15.53,15.74,15.95,16.16,16.37,16.59,16.8
2012-08-08,15.11,15.33,15.55,15.77,15.99,16.21,16.43,16.65,16.87
2012-08-09,14.5,14.7,14.91,15.11,15.32,15.53,15.73,15.94,16.14
2012-08-10,14.47,14.67,14.88,15.08,15.28,15.48,15.68,15.89,16.09
2012-08-13,13.95,14.15,14.35,14.54,14.74,14.94,15.13,15.33,15.53
2012-08-14,12.93,13.12,13.31,13.51,13.7,13.89,14.09,14.28,14.47
2012-08-15,13.97,14.19,14.41,14.63,14.85,15.07,15.29,15.51,15.73
2012-08-16,13.73,13.95,14.18,14.4,14.63,14.86,15.08,15.31,15.53
2012-08-17,13.43,13.64,13.86,14.07,14.29,14.51,14.72,14.94,15.15
2012-08-20,12.64,12.85,13.05,13.25,13.45,13.65,13.85,14.05,14.26
2012-08-21,13.17,13.38,13.59,13.81,14.02,14.23,14.45,14.66,14.87
2012-08-22,14.1,14.33,14.56,14.79,15.02,15.25,15.48,15.71,15.94
2012-08-23,14.17,14.4,14.64,14.87,15.11,15.35,15.58,15.82,16.05
2012-08-24,14.97,15.22,15.47,15.71,15.96,16.21,16.45,16.7,16.95
2012-08-27,14.27,14.5,14.73,14.95,15.18,15.41,15.63,15.86,16.09
2012-08-28,15.37,15.62,15.86,16.11,16.35,16.59,16.84,17.08,17.33
2012-08-29,15.5,15.74,15.99,16.23,16.48,16.73,16.97,17.22,17.46
2012-08-30,16.03,16.29,16.54,16.8,17.05,17.3,17.56,17.81,18.07
2012-08-31,16.74,17.01,17.28,17.55,17.82,18.09,18.36,18.63,18.9
2012-09-04,16.44,16.7,16.96,17.21,17.47,17.73,17.98,18.24,18.5
2012-09-05,16.92,17.18,17.45,17.71,17.98,18.25,18.51,18.78,19.04
2012-09-06,16.72,16.97,17.23,17.48,17.73,17.98,18.23,18.49,18.74
2012-09-07,14.78,14.98,15.19,15.39,15.6,15.81,16.01,16.22,16.42
2012-09-10,13.64,13.82,14.01,14.19,14.38,14.57,14.75,14.94,15.12
2012-09-11,15.33,15.57,15.8,16.04,16.28,16.52,16.76,16.99,17.23
2012-09-12,15.45,15.69,15.93,16.17,16.41,16.65,16.89,17.13,17.37
2012-09-13,14.87,15.1,15.33,15.57,15.8,16.03,16.27,16.5,16.73
2012-09-14,13.27,13.47,13.66,13.86,14.05,14.24,14.44,14.63,14.83
2012-09-17,13.66,13.87,14.08,14.3,14.51,14.72,14.94,15.15,15.36
2012-09-18,13.74,13.95,14.16,14.38,14.59,14.8,15.02,15.23,15.44
2012-09-19,13.37,13.58,13.78,13.98,14.18,14.38,14.58,14.78,14.99
2012-09-20,13.11,13.3,13.49,13.69,13.88,14.07,14.27,14.46,14.65
2012-09-21,13.28,13.48,13.68,13.87,14.07,14.27,14.46,14.66,14.86
2012-09-24,13.21,13.4,13.59,13.79,13.98,14.17,14.37,14.56,14.75
2012-09-25,13.38,13.58,13.77,13.96,14.15,14.34,14.53,14.72,14.92
2012-09-26,14.53,14.75,14.98,15.2,15.43,15.66,15.88,16.11,16.33
2012-09-27,15.79,16.05,16.3,16.55,16.8,17.05,17.3,17.55,17.81
2012-09-28,14.02,14.22,14.43,14.63,14.84,15.05,15.25,15.46,15.66
2012-10-01,14.83,15.06,15.28,15.51,15.73,15.95,16.18,16.4,16.63
2012-10-02,15.37,15.61,15.84,16.08,16.32,16.56,16.8,17.03,17.27
2012-10-03,14.82,15.04,15.26,15.49,15.71,15.93,16.16,16.38,16.6
2012-10-04,14.58,14.79,15.0,15.22,15.43,15.64,15.86,16.07,16.28
2012-10-05,13.78,13.98,14.17,14.36,14.55,14.74,14.93,15.12,15.32
2012-10-08,13.58,13.77,13.95,14.14,14.33,14.52,14.71,14.89,15.08
2012-10-09,14.29,14.5,14.7,14.91,15.11,15.31,15.52,15.72,15.93
2012-10-10,15.46,15.69,15.91,16.14,16.37,16.6,16.83,17.05,17.28
