DateTime,Open,High,Low,Close,Volume,oi,Symbol
2005-06-20,14.83,14.83,14.83,14.83,0,0,@VXV05
2005-06-21,14.9,14.91,14.9,14.91,50,0,@VXV05
2005-06-22,14.84,14.86,14.84,14.86,10,0,@VXV05
2005-06-23,14.98,15.12,14.91,15.12,61,60,@VXV05
2005-06-24,15.09,15.27,15.05,15.27,9,121,@VXV05
2005-06-27,15.28,15.28,15.22,15.23,26,117,@VXV05
2005-06-28,15.02,15.02,15.02,15.02,0,142,@VXV05
2005-06-29,15.12,15.13,15.05,15.13,45,137,@VXV05
2005-06-30,15.1,15.1,15.1,15.1,0,181,@VXV05
2005-07-01,15.07,15.07,15.07,15.07,0,150,@VXV05
2005-07-05,15.14,15.14,14.86,14.92,13,150,@VXV05
2005-07-06,14.81,15.0,14.81,15.0,15,162,@VXV05
2005-07-07,15.19,15.19,15.11,15.11,5,176,@VXV05
2005-07-08,15.08,15.08,14.8,14.87,16,176,@VXV05
2005-07-11,14.94,14.98,14.78,14.9,50,188,@VXV05
2005-07-12,14.99,15.0,14.88,14.93,25,238,@VXV05
2005-07-13,14.9,14.9,14.9,14.9,0,251,@VXV05
2005-07-14,14.81,14.81,14.75,14.8,10,248,@VXV05
2005-07-15,14.75,14.75,14.62,14.62,4,248,@VXV05
2005-07-18,14.54,14.57,14.44,14.53,35,244,@VXV05
2005-07-19,14.55,14.56,14.49,14.49,5,245,@VXV05
2005-07-20,14.55,14.55,14.4,14.4,4,230,@VXV05
2005-07-21,14.27,14.44,14.25,14.33,13,231,@VXV05
2005-07-22,14.27,14.27,14.18,14.21,3,233,@VXV05
2005-07-25,14.13,14.2,14.13,14.15,17,233,@VXV05
2005-07-26,14.07,14.12,14.06,14.12,6,255,@VXV05
2005-07-27,14.19,14.19,14.01,14.01,49,261,@VXV05
2005-07-28,13.9,13.98,13.79,13.92,13,246,@VXV05
2005-07-29,13.89,14.1,13.89,14.01,114,244,@VXV05
2005-08-01,14.2,14.2,14.18,14.18,5,244,@VXV05
2005-08-02,14.05,14.17,14.03,14.08,33,393,@VXV05
2005-08-03,14.1,14.11,13.99,14.11,56,393,@VXV05
2005-08-04,14.05,14.2,13.95,14.19,95,427,@VXV05
2005-08-05,14.3,14.45,14.2,14.29,153,494,@VXV05
2005-08-08,14.25,14.44,14.25,14.43,24,641,@VXV05
2005-08-09,14.27,14.27,14.05,14.05,68,646,@VXV05
2005-08-10,14.0,14.3,13.95,14.19,33,711,@VXV05
2005-08-11,14.18,14.18,14.0,14.03,136,800,@VXV05
2005-08-12,14.18,14.9,14.09,14.41,151,867,@VXV05
2005-08-15,14.46,14.46,14.31,14.31,2,867,@VXV05
2005-08-16,14.38,14.7,14.38,14.61,311,1017,@VXV05
2005-08-17,14.65,14.65,14.39,14.49,139,1110,@VXV05
2005-08-18,14.65,14.65,14.38,14.38,9,1169,@VXV05
2005-08-19,14.25,14.33,14.25,14.27,12,1228,@VXV05
2005-08-22,14.2,14.33,14.14,14.24,52,1285,@VXV05
2005-08-23,14.3,14.3,14.25,14.25,5,1304,@VXV05
2005-08-24,14.2,14.33,14.2,14.26,26,1304,@VXV05
2005-08-25,14.3,14.3,14.13,14.28,14,1313,@VXV05
2005-08-26,14.36,14.4,14.35,14.36,8,1315,@VXV05
2005-08-29,14.39,14.39,14.2,14.2,28,1302,@VXV05
2005-08-30,14.32,14.37,14.21,14.3,29,1299,@VXV05
2005-08-31,14.35,14.35,14.05,14.11,45,1314,@VXV05
2005-09-01,14.1,14.28,14.1,14.18,64,1337,@VXV05
2005-09-02,14.13,14.37,14.13,14.23,49,1283,@VXV05
2005-09-06,14.18,14.25,14.07,14.09,25,1305,@VXV05
2005-09-07,14.1,14.1,13.88,13.92,37,1324,@VXV05
2005-09-08,13.85,14.0,13.85,13.94,17,1302,@VXV05
2005-09-09,13.9,13.9,13.69,13.71,46,1311,@VXV05
2005-09-12,13.7,13.7,13.61,13.65,76,1333,@VXV05
2005-09-13,13.64,13.82,13.6,13.78,53,1300,@VXV05
2005-09-14,13.61,13.82,13.61,13.77,3,1306,@VXV05
2005-09-15,13.71,13.78,13.7,13.71,21,1303,@VXV05
2005-09-16,13.53,13.6,13.5,13.51,39,1378,@VXV05
2005-09-19,13.44,13.69,13.43,13.59,16,1368,@VXV05
2005-09-20,13.55,13.71,13.53,13.66,64,1362,@VXV05
2005-09-21,13.71,14.05,13.66,13.66,91,1362,@VXV05
2005-09-22,14.16,14.45,14.1,14.18,446,1381,@VXV05
2005-09-23,14.1,14.1,13.9,13.95,63,1378,@VXV05
2005-09-26,13.7,13.75,13.62,13.75,43,1136,@VXV05
2005-09-27,13.84,13.84,13.57,13.63,32,1134,@VXV05
2005-09-28,13.55,13.55,13.34,13.43,108,1104,@VXV05
2005-09-29,13.3,13.3,13.1,13.15,12,1142,@VXV05
2005-09-30,13.1,13.1,12.94,12.94,82,1132,@VXV05
2005-10-03,12.95,13.06,12.76,12.86,55,1142,@VXV05
2005-10-04,12.81,13.19,12.74,13.18,75,1156,@VXV05
2005-10-05,13.2,13.91,13.2,13.8,298,1161,@VXV05
2005-10-06,13.78,14.43,13.78,14.1,281,1366,@VXV05
2005-10-07,14.1,14.21,14.01,14.05,39,1494,@VXV05
2005-10-10,14.18,14.62,14.18,14.56,160,1270,@VXV05
2005-10-11,14.55,14.67,14.5,14.63,58,1329,@VXV05
2005-10-12,14.67,14.8,14.5,14.77,101,1316,@VXV05
2005-10-13,14.75,15.74,14.75,15.36,176,1360,@VXV05
2005-10-14,15.25,15.25,14.7,14.77,169,1128,@VXV05
2005-10-17,14.61,14.61,14.29,14.3,134,1174,@VXV05
2005-10-18,14.33,14.58,14.06,14.57,278,1229,@VXV05
2005-02-22,13.97,14.7,13.97,14.7,57,0,@VXX05
2005-02-23,14.68,14.68,14.68,14.68,0,0,@VXX05
2005-02-24,14.74,14.77,14.74,14.74,14,57,@VXX05
2005-02-25,14.6,14.6,14.58,14.58,10,71,@VXX05
2005-02-28,14.74,14.74,14.58,14.58,2,71,@VXX05
2005-03-01,14.69,14.69,14.64,14.64,5,71,@VXX05
2005-03-02,14.7,14.77,14.68,14.77,2,78,@VXX05
2005-03-03,14.88,14.93,14.77,14.77,19,78,@VXX05
2005-03-04,14.88,14.94,14.88,14.94,0,80,@VXX05
2005-03-07,14.78,14.78,14.73,14.73,1,99,@VXX05
2005-03-08,14.78,14.78,14.76,14.76,0,99,@VXX05
2005-03-09,14.82,14.95,14.82,14.91,61,99,@VXX05
2005-03-10,15.1,15.1,14.91,14.91,400,160,@VXX05
2005-03-11,15.09,15.11,14.91,14.91,2,560,@VXX05
2005-03-14,15.09,15.23,14.95,14.95,26,562,@VXX05
2005-03-15,15.15,15.15,15.12,15.12,2,588,@VXX05
2005-03-16,15.19,15.27,15.19,15.21,70,590,@VXX05
2005-03-17,15.27,15.31,15.27,15.29,7,660,@VXX05
2005-03-18,15.34,15.41,15.31,15.37,12,667,@VXX05
2005-03-21,15.44,15.6,15.44,15.59,53,679,@VXX05
2005-03-22,15.64,15.88,15.61,15.88,261,732,@VXX05
2005-03-23,15.94,16.08,15.94,16.07,88,732,@VXX05
2005-03-24,15.99,15.99,15.85,15.89,10,880,@VXX05
