STUB_1,12/13/19,12/6/19,Difference,12/14/18,Percent Change,12/15/17,Percent Change.1
Crude Oil,"1,081.800","1,082.886",-1.0859999999999999,"1,090.594",-0.8,"1,099.785",-1.6
Commercial (Excluding SPR),446.833,447.918,-1.085,441.457,1.2,436.491,2.4
East Coast (PADD 1),11.131,10.114,1.0170000000000001,11.355,-2.0,12.921,-13.9
Midwest (PADD 2),127.370,126.533,0.8370000000000001,128.792,-1.1,136.121,-6.4
Cushing,40.164,40.429,-0.265,40.492,-0.8,52.998,-24.2
Gulf Coast (PADD 3),232.287,235.275,-2.988,231.776,0.2,213.880,8.6
Rocky Mountain (PADD 4),24.066,23.971,0.095,22.164,8.6,23.282,3.4
West Coast (PADD 5),51.980,52.023,-0.043,47.369,9.7,50.287,3.4
Alaska In-Transit,4.566,4.815,-0.249,3.082,48.2,4.387,4.1
SPR,634.967,634.968,-0.001,649.137,-2.2,663.294,-4.3
Total Motor Gasoline,237.297,234.768,2.529,230.103,3.1,227.783,4.2
Reformulated,0.039,0.048,-0.009000000000000001,0.045,-13.3,0.053,-26.4
Conventional,23.543,24.597,-1.054,25.547,-7.8,24.935,-5.6
Blending Components,213.715,210.123,3.592,204.511,4.5,202.796,5.4
Fuel Ethanol,21.798,21.815,-0.017,23.873,-8.7,22.320,-2.3
Kerosene-Type Jet Fuel,38.315,39.337,-1.022,39.823,-3.8,39.834,-3.8
Distillate Fuel Oil,125.096,123.587,1.5090000000000001,119.900,4.3,128.845,-2.9
15 ppm sulfur and Under,109.297,108.139,1.158,104.978,4.1,111.868,-2.3
> 15 ppm to 500 ppm sulfur,4.788,4.169,0.619,4.459,7.4,6.790,-29.5
> 500 ppm sulfur,11.011,11.279,-0.268,10.463,5.2,10.187,8.1
Residual Fuel Oil,32.061,31.456,0.605,27.743,15.6,30.815,4.0
Propane/Propylene,90.960,93.500,-2.54,73.246,24.2,71.345,27.5
Other Oils ,287.771,288.671,-0.9,273.443,5.2,275.462,4.5
Unfinished Oils,94.072,92.738,1.334,88.127,6.7,85.829,9.6
Total Stocks (Including SPR),"1,915.097","1,916.022",-0.925,"1,878.725",1.9,"1,896.189",1.0
Total Stocks (Excluding SPR),"1,280.130","1,281.054",-0.924,"1,229.588",4.1,"1,232.895",3.8
