Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-08-29,ETHUSDT,173.03,173.5,166.14,168.92,129556.57,21984804.82
2019-08-28,ETHUSDT,187.24,188.25,166.48,173.03,310652.09,55302425.27
2019-08-27,ETHUSDT,188.67,189.49,184.75,187.24,151685.35,28352312.68
2019-08-26,ETHUSDT,186.54,193.7,186,188.67,239138.62,45398330.11
2019-08-25,ETHUSDT,190.6,192.4,182.8,186.54,161329.18,30335644.16
2019-08-24,ETHUSDT,194.02,194.09,185.63,190.6,160347.74,30376792.7
2019-08-23,ETHUSDT,190.35,196.19,188.16,194.02,184607.56,35496408.13
2019-08-22,ETHUSDT,187.45,195.14,182.8,190.35,235248.89,44470719.79
2019-08-21,ETHUSDT,196.6,197.2,179.53,187.45,272790.2,51147312.61
2019-08-20,ETHUSDT,202.28,202.75,194.45,196.6,182698.67,36108993.49
2019-08-19,ETHUSDT,194.33,203.59,192.7,202.28,227767.43,45335821.49
2019-08-18,ETHUSDT,185.59,197.91,183.35,194.33,167642.42,32170746.08
2019-08-17,ETHUSDT,184.88,187,181.83,185.59,133031.38,24536347.33
2019-08-16,ETHUSDT,188.03,188.39,178.04,184.88,266677.79,49099025.49
2019-08-15,ETHUSDT,187.1,189.95,181.23,188.03,227061.95,42159161.36
2019-08-14,ETHUSDT,209.3,209.9,183.49,187.1,303096.75,59313621.96
2019-08-13,ETHUSDT,211.41,214.3,204,209.3,160581.72,33540267.5
2019-08-12,ETHUSDT,216.42,216.81,209.75,211.41,118019.79,25084874.56
2019-08-11,ETHUSDT,206.48,216.94,206.14,216.42,181226.33,38340043.64
2019-08-10,ETHUSDT,210.53,215,202.6,206.48,238814.18,49672833.39
2019-08-09,ETHUSDT,221.39,221.79,207.3,210.53,222126.62,47305932.95
2019-08-08,ETHUSDT,226.1,228.5,215.51,221.39,227302.75,50605328.79
2019-08-07,ETHUSDT,226.28,231.25,220.95,226.1,266654.97,60324416.2
2019-08-06,ETHUSDT,233.54,239.15,223.03,226.28,321598.75,74057470.81
2019-08-05,ETHUSDT,221.79,236.25,221.79,233.54,293028.62,67519115.44
2019-08-04,ETHUSDT,222.14,223.34,216.9,221.79,129252.63,28434538.95
2019-08-03,ETHUSDT,217.61,224.51,216.62,222.14,173091.61,38402414.61
2019-08-02,ETHUSDT,216.84,222.18,214.31,217.61,197378.6,43048711.84
2019-08-01,ETHUSDT,218.42,219.39,210.54,216.84,178367.73,38245768.5
2019-07-31,ETHUSDT,209.58,218.79,209.2,218.42,199072.03,42667260.47
2019-07-30,ETHUSDT,210.89,214.36,204.4,209.58,213617.67,44727001.37
2019-07-29,ETHUSDT,211.62,215.83,206.59,210.89,215871.37,45520537.27
2019-07-28,ETHUSDT,207.3,213.52,198.24,211.62,206493.53,42875063.52
2019-07-27,ETHUSDT,218.81,223.3,203,207.3,249914.53,53195918.15
2019-07-26,ETHUSDT,219.14,220,212.71,218.81,146879.47,31820101.61
2019-07-25,ETHUSDT,216.31,225.12,215.23,219.14,268128.71,59309595.05
2019-07-24,ETHUSDT,212.48,218.28,202,216.31,312744.21,65437569.67
2019-07-23,ETHUSDT,217.51,219.55,208.36,212.48,304107.35,64989471.6
2019-07-22,ETHUSDT,225.38,228.34,212.25,217.51,257250.37,56520639.97
2019-07-21,ETHUSDT,228.2,229.66,216.99,225.38,256533.09,57404562.62
2019-07-20,ETHUSDT,220.73,235.09,219.78,228.2,308327.14,70282478.12
2019-07-19,ETHUSDT,225.73,226.23,212.52,220.73,352958.87,77505331.06
2019-07-18,ETHUSDT,210.81,229.65,205.71,225.73,571266.02,124404066.32
2019-07-17,ETHUSDT,198.88,219.86,191.84,210.81,654709.37,134755146.71
2019-07-16,ETHUSDT,228.2,234.5,192.25,198.88,663570.16,140583678.74
