Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-29,BTCUSD,9716.1,9716.1,9307.8,9465,2759.61,26290805.5
2019-08-28,BTCUSD,10177.3,10297.7,9533,9716.1,6688.0,66042862.19
2019-08-27,BTCUSD,10364.6,10387.9,10033,10177.3,3401.12,34571699.6
2019-08-26,BTCUSD,10134.5,10697.9,10134.5,10364.6,7297.73,75780818.3
2019-08-25,BTCUSD,10140.5,10398.6,9910.1,10134.5,4209.52,42564647.7
2019-08-24,BTCUSD,10406.3,10421.4,9883.4,10140.5,4180.4,42237774.11
2019-08-23,BTCUSD,10107.9,10478.6,10037.7,10406.3,4021.57,41379870.48
2019-08-22,BTCUSD,10125,10233.9,9752.2,10107.9,6511.37,65094669.19
2019-08-21,BTCUSD,10759.9,10800,9853.2,10125,8841.97,89970408.38
2019-08-20,BTCUSD,10921.8,10959,10560.1,10759.9,3831.07,41120656.45
2019-08-19,BTCUSD,10326.4,10950,10267.5,10921.8,5197.22,55449197.69
2019-08-18,BTCUSD,10211.8,10502.4,10065,10326.4,2908.8,30047873.41
2019-08-17,BTCUSD,10362.1,10475,9999.9,10211.8,3766.12,38568088.53
2019-08-16,BTCUSD,10304.5,10535,9728,10362.1,8443.93,86134304.37
2019-08-15,BTCUSD,10018,10450,9490,10304.5,11725.64,116947557.98
2019-08-14,BTCUSD,10857,10862,9900,10018,9346.67,97089849.37
2019-08-13,BTCUSD,11384.2,11442.6,10751,10857,5531.49,61125017.85
2019-08-12,BTCUSD,11526.7,11550.2,11235,11384.2,2523.03,28742438.69
2019-08-11,BTCUSD,11284.7,11581,11101.9,11526.7,3242.59,36875604.78
2019-08-10,BTCUSD,11857.6,11975,11230.2,11284.7,5075.98,58198648.7
2019-08-09,BTCUSD,11982.6,12042,11660,11857.6,4972.73,58817284.22
2019-08-08,BTCUSD,11962.7,12065,11472.6,11982.6,5503.29,64791336.85
2019-08-07,BTCUSD,11458.8,12173.8,11387,11962.7,9518.05,111889986.34
2019-08-06,BTCUSD,11799.6,12340,11200,11458.8,10984.94,129318818.69
2019-08-05,BTCUSD,10972.4,11940,10972.4,11799.6,8456.19,98447879.49
2019-08-04,BTCUSD,10809.9,11078.7,10539.9,10972.4,4989.41,54070356.97
2019-08-03,BTCUSD,10531.5,10928,10507,10809.9,3959.82,42692346.96
2019-08-02,BTCUSD,10408.9,10665.4,10327.9,10531.5,5203.72,54560673.86
2019-08-01,BTCUSD,10090.1,10530,9882.4,10408.9,6557.89,66637831.71
2019-07-31,BTCUSD,9594.1,10135.8,9575,10090.1,6067.91,60098866.05
2019-07-30,BTCUSD,9499.9,9766.1,9381.3,9594.1,3996.76,38306409.24
2019-07-29,BTCUSD,9531.7,9709.7,9375,9499.9,4104.98,39144754.82
2019-07-28,BTCUSD,9471.8,9630,9120,9531.7,3862.39,36451199.27
2019-07-27,BTCUSD,9852,10204.6,9269.1,9471.8,6349.64,61379160.65
2019-07-26,BTCUSD,9878,9911.3,9625.2,9852,4323.5,42265885.2
2019-07-25,BTCUSD,9769.8,10187.4,9734.6,9878,5606.96,56139409.42
2019-07-24,BTCUSD,9840.6,9919.6,9500.1,9769.8,8280.49,80305566.14
2019-07-23,BTCUSD,10323.9,10328.9,9800,9840.6,7956.27,79737632.35
2019-07-22,BTCUSD,10595.3,10685.1,10071,10323.9,6592.63,68372715.22
2019-07-21,BTCUSD,10774.9,10842.2,10188,10595.3,5461.73,57587647.69
2019-07-20,BTCUSD,10535.2,11210,10379.5,10774.9,6940.81,74616688.44
2019-07-19,BTCUSD,10636.6,10775,10122,10535.2,7418.4,77528624.26
2019-07-18,BTCUSD,9703.9,10800,9250.1,10636.6,13029.71,131516175.68
2019-07-17,BTCUSD,9420.3,9979.4,9099,9703.9,13077.32,125179312.92
2019-07-16,BTCUSD,10840.4,11038.1,9365,9420.3,14551.17,145778595.99
2019-07-15,BTCUSD,10621.1,11078.3,9789,10840.4,9896.69,103256998.52
2019-07-14,BTCUSD,11381.5,11461.1,10275.1,10621.1,7555.08,81098331.83
2019-07-13,BTCUSD,11798.1,11844.5,10800.1,11381.5,7154.02,80892789.28
2019-07-12,BTCUSD,11343.5,11930.2,11091.3,11798.1,7208.34,83342676.5
2019-07-11,BTCUSD,12096.2,12096.2,10957,11343.5,13431.4,154398106.1
2019-07-10,BTCUSD,12570.5,13197.8,11555,12096.2,12780.74,159186251.57
2019-07-09,BTCUSD,12298,12826.5,12127,12570.5,8815.26,110063374.6
2019-07-08,BTCUSD,11480.7,12404.6,11323.7,12298,7497.86,89415356.95
2019-07-07,BTCUSD,11233.5,11631.2,11000,11480.7,4621.31,52426620.11
