Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-29,ETHEUR,156.3,156.51,150.1,152.74,13493.77,2061876.19
2019-08-28,ETHEUR,168.93,169.8,150,156.3,55742.16,8906321.24
2019-08-27,ETHEUR,169.65,170.41,166.27,168.93,25615.8,4308999.69
2019-08-26,ETHEUR,167.48,174.15,167.29,169.65,21169.35,3606403.71
2019-08-25,ETHEUR,171.34,172.94,164.44,167.48,13437.57,2261543.6
2019-08-24,ETHEUR,174.53,174.57,167.13,171.34,20060.5,3403459.79
2019-08-23,ETHEUR,172.16,177.64,170.15,174.53,24994.98,4347958.13
2019-08-22,ETHEUR,169.08,176.13,165.03,172.16,27996.83,4781979.59
2019-08-21,ETHEUR,177.22,177.67,162.12,169.08,33721.5,5670663.13
2019-08-20,ETHEUR,183,183.09,175.46,177.22,28403.46,5076791.53
2019-08-19,ETHEUR,175.69,183.75,170.81,183,37695.67,6761438.42
2019-08-18,ETHEUR,167.44,178.4,165.45,175.69,31499.79,5479399.13
2019-08-17,ETHEUR,167.21,168.5,164.44,167.44,9376.61,1560541.23
2019-08-16,ETHEUR,169.57,169.6,160.92,167.21,42799.06,7094727.16
2019-08-15,ETHEUR,167.6,170.7,155.79,169.57,69907.88,11483025.46
2019-08-14,ETHEUR,186.66,187.32,162.99,167.6,64752.0,11240849.2
2019-08-13,ETHEUR,188.32,188.69,181.21,186.66,25012.4,4630075.41
2019-08-12,ETHEUR,193.02,193.24,187.68,188.32,16648.98,3154934.63
2019-08-11,ETHEUR,184.08,193.64,183.83,193.02,17024.44,3216656.99
2019-08-10,ETHEUR,187.72,191.47,178.71,184.08,25389.59,4677407.47
2019-08-09,ETHEUR,197.5,197.91,184.49,187.72,28388.38,5376781.31
2019-08-08,ETHEUR,201.53,202.23,191.91,197.5,26951.19,5333719.05
2019-08-07,ETHEUR,201.6,206.25,196.54,201.53,33249.79,6699741.34
2019-08-06,ETHEUR,207.03,213.89,198.55,201.6,42647.81,8755763.94
2019-08-05,ETHEUR,200.49,211.89,200.3,207.03,44206.45,9156227.7
2019-08-04,ETHEUR,199.6,201,195.32,200.49,8081.38,1602737.43
2019-08-03,ETHEUR,196.01,201.94,195.03,199.6,16971.38,3394698.74
2019-08-02,ETHEUR,196.2,201,193.26,196.01,23312.69,4588251.47
2019-08-01,ETHEUR,197.48,197.98,190.81,196.2,25494.45,4947018.45
2019-07-31,ETHEUR,188.15,197.64,187.88,197.48,31616.73,6117496.95
2019-07-30,ETHEUR,188.8,192.66,183.44,188.15,25803.48,4852423.71
2019-07-29,ETHEUR,190.1,193.37,185.27,188.8,23161.9,4368874.48
2019-07-28,ETHEUR,186.27,192,178.11,190.1,31674.09,5877468.04
2019-07-27,ETHEUR,196.98,201.12,182.18,186.27,51025.07,9610121.18
2019-07-26,ETHEUR,196.86,198.36,191.22,196.98,21475.6,4188839.34
2019-07-25,ETHEUR,194.58,202.8,193.69,196.86,34973.82,6946845.6
2019-07-24,ETHEUR,190.28,195.91,181,194.58,42444.89,7980263.14
2019-07-23,ETHEUR,193.9,196.52,186.77,190.28,35226.37,6721299.27
2019-07-22,ETHEUR,201.02,203.51,188.88,193.9,33899.48,6593836.41
2019-07-21,ETHEUR,204.32,205.07,193.77,201.02,28954.61,5764467.54
2019-07-20,ETHEUR,197.44,210.45,196.62,204.32,41651.81,8491804.92
2019-07-19,ETHEUR,201.12,201.49,190.21,197.44,39040.23,7637213.69
2019-07-18,ETHEUR,188.54,204.52,184.2,201.12,70593.11,13762662.39
2019-07-17,ETHEUR,177.04,196.48,172.28,188.54,83258.2,15397161.35
2019-07-16,ETHEUR,202.96,208.87,170.02,177.04,122614.64,22807083.55
2019-07-15,ETHEUR,211.25,211.6,188.55,202.96,67862.97,13595745.08
2019-07-14,ETHEUR,239.51,240,204.61,211.25,87566.86,18773353.2
2019-07-13,ETHEUR,244.75,244.84,232.6,239.51,17547.3,4170877.46
2019-07-12,ETHEUR,239.06,248.5,236.92,244.75,23527.22,5724520.27
2019-07-11,ETHEUR,256.56,256.56,233.11,239.06,77706.18,18747397.14
2019-07-10,ETHEUR,275.06,280.56,252.14,256.56,79033.3,20757344.51
2019-07-09,ETHEUR,279.91,284.09,270.91,275.06,43468.84,12110652.22
2019-07-08,ETHEUR,272.81,281,269.39,279.91,75091.91,20743981.8
2019-07-07,ETHEUR,256.32,276.79,253.33,272.81,35880.85,9660694.82
2019-07-06,ETHEUR,256.68,265.22,254.33,256.32,20914.37,5435143.56
2019-07-05,ETHEUR,251.23,263.1,249.05,256.68,29629.07,7622648.65
2019-07-04,ETHEUR,267.71,268.84,248.67,251.23,29017.51,7558890.6
2019-07-03,ETHEUR,257.73,268.61,257.06,267.71,42178.77,11036722.64
2019-07-02,ETHEUR,260.21,262.27,240.15,257.73,68559.65,17155190.57
2019-07-01,ETHEUR,255.15,265.66,246.69,260.21,63587.56,16230207.26
2019-06-30,ETHEUR,279.01,284.13,252.27,255.15,59265.37,15719035.06
2019-06-29,ETHEUR,272.52,284.65,256.37,279.01,62502.84,16757105.01
2019-06-28,ETHEUR,258.25,275,255,272.52,72706.65,19386655.72
2019-06-27,ETHEUR,287.39,293.05,241.66,258.25,194735.39,51089737.28
2019-06-26,ETHEUR,278.69,314.5,260.83,287.39,217311.27,63750392.74
2019-06-25,ETHEUR,272.81,279,269,278.69,82541.47,22583373.1
2019-06-24,ETHEUR,268.8,274.63,258.7,272.81,57127.93,15427670.09
2019-06-23,ETHEUR,270.93,279,267.02,268.8,53567.98,14602840.76
2019-06-22,ETHEUR,259.99,277,250.53,270.93,104107.87,27976812.89
2019-06-21,ETHEUR,240.99,260.79,240.99,259.99,96913.42,24633296.97
2019-06-20,ETHEUR,239.29,243.49,235.95,240.99,32420.8,7758815.06
2019-06-19,ETHEUR,236.16,241.35,235.14,239.29,24015.07,5733125.88
2019-06-18,ETHEUR,244.06,244.3,233.4,236.16,39035.6,9298834.53
2019-06-17,ETHEUR,239.43,245.49,238.33,244.06,46114.21,11174149.45
2019-06-16,ETHEUR,239.95,248.62,234.51,239.43,66068.17,15970980.36
