STUB_1,12/6/19,11/29/19,Difference,12/7/18,Percent Change,12/8/17,Percent Change.1
Crude Oil,"1,082.886","1,082.262",0.624,"1,091.517",-0.8,"1,105.897",-2.1
Commercial (Excluding SPR),447.918,447.096,0.8220000000000001,441.954,1.4,442.986,1.1
East Coast (PADD 1),10.114,11.015,-0.9009999999999999,11.231,-9.9,14.184,-28.7
Midwest (PADD 2),126.533,131.174,-4.641,128.376,-1.4,137.533,-8.0
Cushing,40.429,43.822,-3.3930000000000002,39.401,2.6,52.244,-22.6
Gulf Coast (PADD 3),235.275,229.842,5.433,232.636,1.1,217.512,8.2
Rocky Mountain (PADD 4),23.971,23.829,0.142,23.155,3.5,22.820,5.0
West Coast (PADD 5),52.023,51.237,0.7859999999999999,46.556,11.7,50.937,2.1
Alaska In-Transit,4.815,3.164,1.651,5.195,-7.3,4.557,5.7
SPR,634.968,635.166,-0.198,649.563,-2.2,662.911,-4.2
Total Motor Gasoline,234.768,229.363,5.405,228.337,2.8,226.546,3.6
Reformulated,0.048,0.035,0.013000000000000001,0.049,-2.0,0.049,-2.0
Conventional,24.597,24.578,0.019,24.300,1.2,26.033,-5.5
Blending Components,210.123,204.750,5.372999999999999,203.989,3.0,200.464,4.8
Fuel Ethanol,21.815,20.639,1.176,22.890,-4.7,22.374,-2.5
Kerosene-Type Jet Fuel,39.337,38.325,1.012,39.002,0.9,40.855,-3.7
Distillate Fuel Oil,123.587,119.469,4.118,124.137,-0.4,128.076,-3.5
15 ppm sulfur and Under,108.139,103.433,4.706,109.293,-1.1,111.393,-2.9
> 15 ppm to 500 ppm sulfur,4.169,4.294,-0.125,4.245,-1.8,7.249,-42.5
> 500 ppm sulfur,11.279,11.741,-0.462,10.599,6.4,9.434,19.6
Residual Fuel Oil,31.456,29.514,1.942,28.233,11.4,31.515,-0.2
Propane/Propylene,93.500,91.782,1.7180000000000002,76.559,22.1,74.668,25.2
Other Oils ,288.671,287.643,1.028,278.793,3.5,280.035,3.1
Unfinished Oils,92.738,94.729,-1.9909999999999999,90.613,2.3,85.858,8.0
Total Stocks (Including SPR),"1,916.022","1,898.996",17.026,"1,889.468",1.4,"1,909.966",0.3
Total Stocks (Excluding SPR),"1,281.054","1,263.830",17.224,"1,239.905",3.3,"1,247.055",2.7
