DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2005-12-20,1.61,0,0,0,1,1,1,0,0,0,0.0,0.2,0.4,0.8,1.0,0.8,0.6,0.4,0.0
2006-02-21,1.23,0,0,1,1,1,1,1,0,0,0.0,0.2,0.6,0.8,1.0,0.8,0.6,0.2,0.0
2006-02-22,0.8,0,0,0,0,1,1,1,1,1,0.0,0.0,0.4,0.6,1.0,1.0,0.8,0.4,0.2
2006-02-23,0.74,0,0,1,1,1,1,0,0,0,0.0,0.0,0.6,0.8,1.0,1.0,0.6,0.2,0.2
2006-02-24,0.66,0,0,0,1,1,1,0,0,0,0.0,0.0,0.4,0.8,1.0,1.0,0.4,0.2,0.2
2006-02-27,0.75,0,0,0,0,1,1,1,0,0,0.0,0.0,0.4,0.6,1.0,1.0,0.6,0.2,0.2
2006-02-28,0.61,1,1,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,0.8,0.8,0.4,0.2,0.2
2006-03-01,0.7,0,0,0,0,0,1,1,1,0,0.2,0.2,0.4,0.6,0.6,0.8,0.4,0.2,0.0
2006-03-02,0.71,0,1,1,1,1,0,0,0,0,0.2,0.4,0.4,0.6,0.6,0.6,0.4,0.2,0.0
2006-03-03,0.65,1,1,1,1,1,1,1,1,0,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.0
2006-03-06,0.51,1,1,1,1,1,1,0,0,0,0.6,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.0
2006-03-07,0.5,0,1,1,1,0,0,0,0,0,0.4,0.8,0.8,0.8,0.6,0.6,0.4,0.4,0.0
2006-03-08,0.6,0,1,1,1,1,1,0,0,0,0.4,1.0,1.0,1.0,0.8,0.6,0.2,0.2,0.0
2006-03-09,0.52,0,0,0,0,0,1,1,1,1,0.4,0.8,0.8,0.8,0.6,0.8,0.4,0.4,0.2
2006-03-10,0.6,0,0,0,0,1,1,1,1,1,0.2,0.6,0.6,0.6,0.6,0.8,0.4,0.4,0.4
2006-03-13,0.89,0,0,0,0,1,1,1,0,0,0.0,0.4,0.4,0.4,0.6,0.8,0.6,0.4,0.4
2006-03-14,1.15,0,0,0,1,1,1,1,1,1,0.0,0.2,0.2,0.4,0.8,1.0,0.8,0.6,0.6
2006-03-15,1.18,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.4,0.8,1.0,1.0,0.6,0.6
2006-03-16,1.0,0,0,0,0,1,1,1,1,0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,0.6,0.4
